,id,source,url
0,0,b'Yahoo! Finance',b'https://ca.finance.yahoo.com/news/1-indias-modi-promises-jobs-084922502.html'
1,1,b'Yahoo News',b'https://sg.news.yahoo.com/india-bjps-election-videos-targeting-112425609.html'
2,2,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/sonia-gandhis-attempt-to-launch-rahul-gandhi-from-raebareli-will-fail-amit-shah/articleshow/109812026.cms'
3,3,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-modi-running-school-of-corruption-in-country-rahul-gandhi/articleshow/109451795.cms'
4,4,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/lok-sabha-election-bjps-smriti-irani-files-nomination-from-crucial-amethi-seat/articleshow/109685901.cms'
5,5,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/congress-to-conduct-caste-census-if-voted-to-power-at-centre-rahul-gandhi-in-chhattisgarh/articleshow/109271923.cms'
6,6,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/bjp-wont-get-more-than-150-seats-in-lok-sabha-polls-rahul-gandhi/articleshow/109455232.cms'
7,7,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/shatranj-ki-kuch-chaale-baaki-jairam-ramesh-says-rahul-gandhis-candidacy-from-rae-bareli-is-well-strategized/articleshow/109810797.cms'
8,8,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/rajasthan/former-wwe-star-the-great-khali-calls-rahul-gandhi-a-jumla-backs-bjps-kailash-choudhary-in-barmer-jaisalmer/articleshow/109477556.cms'
9,9,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/kerala/smriti-irani-accuses-rahul-gandhi-of-taking-pfi-support-in-wayanad-lok-sabha-seat/articleshow/109220666.cms'
10,10,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/kerala/rahul-gandhi-hasnt-even-taken-wayanads-name-in-parliament-for-five-years-says-cpis-annie-raja/articleshow/109292457.cms'
11,11,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/make-modi-pm-for-third-time-to-end-terrorism-and-naxalism-shah/articleshow/109644571.cms'
12,12,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/lok-sabha-election-bjps-smriti-irani-to-file-nomination-from-crucial-amethi-seat-today/articleshow/109677137.cms'
13,13,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/fear-of-defeat-union-minister-anurag-thakur-on-rahul-gandhi-skipping-amethi-lok-sabha-candidacy/articleshow/109809151.cms'
14,14,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/votes-cast-for-congress-in-lok-sabha-polls-will-be-a-vote-for-anarchy-economic-bankruptcy-b-s-yediyurappa/articleshow/109220232.cms'
15,15,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/madhya-pradesh/madhya-pradesh-cm-mohan-yadav-takes-jibe-at-congress-after-its-poster-featuring-bjp-candidate-put-up-at-rahul-gandhi-event-venue/articleshow/109136142.cms'
16,16,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/x-takes-down-karnataka-bjps-animated-clip-on-muslim-quota-row-after-ec-prod/articleshow/109954733.cms'
17,17,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/congress-leader-kl-sharma-files-nomination-from-amethi/articleshow/109808960.cms'
18,18,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/madhya-pradesh/rahul-gandhi-always-questions-valor-of-the-indian-army-madhya-pradesh-cm/articleshow/109475970.cms'
19,19,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/rajasthan/haryana-cm-nayab-saini-slams-rahul-gandhi-over-his-bharat-jodo-yatra-says-modi-worked-to-unite-india/articleshow/109192489.cms'
20,20,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/bjp-govt-will-never-change-preamble-of-constitution-reservation-will-remain-rajnath-singh/articleshow/109852815.cms'
21,21,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/farmers-loans-will-be-waived-after-congress-comes-to-power-says-rahul-gandhi/articleshow/109272968.cms'
22,22,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/with-content-king-creators-trying-hard-to-be-kingmakers-this-lok-sabha-elections/articleshow/109763160.cms'
23,23,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/priyanka-gandhi-hails-kishori-lal-sharmas-candidature-from-amethi/articleshow/109805761.cms'
24,24,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/bjp-imposing-one-history-one-nation-and-one-language-rahul-gandhi-in-kunnur-rally/videoshow/109408330.cms'
25,25,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/telangana/modi-amit-shah-doing-surgical-strike-on-sc-st-obcs-revanth-reddy/articleshow/109652744.cms'
26,26,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/modi-govt-has-to-be-removed-to-save-railways-rahul-gandhi/articleshow/109474623.cms'
27,27,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/rahul-gandhi-has-forgotten-his-own-slogan-daro-mat-bjp-slams-nehru-gandhi-scion-for-ditching-amethi/articleshow/109805076.cms'
28,28,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/assembly-elections/odisha/bjp-lines-up-national-leaders-union-ministers-cms-for-campaign-in-odisha/articleshow/109923863.cms'
29,29,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/congress-leader-rahul-gandhi-calls-pm-modis-recent-interview-scripted-and-flop-show/articleshow/109362920.cms'
30,30,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/congress-leader-rahul-gandhi-calls-pm-modis-recent-interview-scripted-and-flop-show/articleshow/109362920.cms'
31,31,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/bhagalpur-turns-into-a-prestige-battle-for-jdu-bjp-deputes-sr-leaders/articleshow/109481710.cms'
32,32,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/sonia-gandhis-attempt-to-launchrahul-babafrom-raebareli-will-fail-says-amit-shah/videoshow/109819662.cms'
33,33,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/pm-champion-of-corruption-electoral-bond-biggest-extortion-scheme-rahul-gandhi/videoshow/109364047.cms'
34,34,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/gujarat-congress-leader-stokes-controversy-by-calling-gandhiji-cunning-bjp-slams-party/articleshow/109819035.cms'
35,35,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-modi-bjp-doing-corruption-through-electoral-bonds-rahul-gandhi/articleshow/109222373.cms'
36,36,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/acharya-pramod-on-former-pakistan-minister-praising-rahul-gandhi-says-ye-rishta-kya-kehlata-hai-/videoshow/109818286.cms'
37,37,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/this-is-not-your-ancestors-estate-cant-threaten-me-kangana-ranaut-tells-himachal-minister/articleshow/109222523.cms'
38,38,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/accidental-hindu-should-talk-about-atrocities-committed-by-mughals-adityanaths-dig-at-rahul-gandhi/articleshow/109692195.cms'
39,39,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/rajasthan/what-to-call-a-person-who-left-battle-in-between-rajnath-singh-takes-jibe-at-rahul-gandhi/articleshow/109818155.cms'
40,40,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/if-voted-to-power-congress-will-conduct-caste-and-economic-survey-rahul-gandhi/articleshow/109688709.cms'
41,41,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/assam-cm-condemn-terror-attack-in-jks-poonch/articleshow/109850295.cms'
42,42,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/shameful-and-sad-kharge-rahul-condemn-terror-attack-on-air-forces-convoy-in-poonch/articleshow/109850391.cms'
43,43,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/he-may-even-shed-tears-on-stage-rahul-gandhi-accuses-pm-modi-of-diverting-attention-from-core-issues/articleshow/109625941.cms'
44,44,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/phase-2-of-lok-sabha-elections-sees-active-participation-across-13-states-and-ut-heres-a-recap-of-the-day/articleshow/109630299.cms'
45,45,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/sp-congress-discuss-campaign-strategy-for-lok-sabha-polls-in-uttar-pradesh/articleshow/109131743.cms'
46,46,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/madhya-pradesh/new-govt-will-transfer-rs-1-lakh-into-accounts-of-women-from-sc-and-st-categories-says-rahul-gandhi/articleshow/109132387.cms'
47,47,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/youth-wandering-on-roads-begging-for-jobs-with-folded-hands-rahul-gandhi-targets-centre/articleshow/109631292.cms'
48,48,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/rahul-gandhi-again-advocated-wealth-redistribution-caste-survey-and-agniveer-scheme/videoshow/109850651.cms'
49,49,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/rahul-gandhi-took-the-support-of-terrorist-group-to-contest-polls-in-wayanad-smriti-irani/articleshow/109132520.cms'
50,50,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/congress-came-to-power-in-karnataka-with-sdpis-support-alleges-amit-shah/articleshow/109815147.cms'
51,51,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/accidental-hindu-cm-yogi-adityanath-attacks-rahul-gandhis-raja-maharaja-remarks/videoshow/109689209.cms'
52,52,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/vice-chancellors-write-open-letter-slamming-rahul-gandhis-comments-on-selection-process/articleshow/109871681.cms'
53,53,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/run-rahul-run-bjp-takes-dig-as-congress-leader-fielded-from-rae-bareli-in-ls-polls/articleshow/109813407.cms'
54,54,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/third-eye-kerala-poll-a-boiling-cauldron-rahul-gandhi-criticises-bachchan-family-again-and-pm-modis-malda-rally/articleshow/109633167.cms'
55,55,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/lok-sabha-elections-2024-rahul-gandhi-files-nomination-from-raebareli/videoshow/109812629.cms'
56,56,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/narendra-modis-counter-to-congress-not-equally-rich-but-equally-poor/articleshow/109688376.cms'
57,57,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/vk-pandian-why-is-naveen-patnaiks-right-hand-man-under-fire-from-pm-modi-and-rahul-gandhi/articleshow/109949575.cms'
58,58,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/22-people-have-exact-wealth-as-70-cr-people-rahul-gandhi-targets-pm-modi-over-wealth-inequality/videoshow/109274849.cms'
59,59,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/oppn-allies-are-rivals-in-25-seats-have-already-conceded-defeat-pm-modi/articleshow/109464143.cms'
60,60,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/bihar/cant-you-find-yadav-outside-your-family-amit-shah-lambasts-samajwadi-party-over-family-politics/articleshow/109667392.cms'
61,61,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/bihar/nda-india-bloc-mobilise-voters-after-dismal-phase-i-turnout-in-bihar/articleshow/109464065.cms'
62,62,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/up-hearing-in-2018-defamation-case-against-rahul-gandhi-postponed-to-may-14/articleshow/109774056.cms'
63,63,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/muslims-will-be-looked-after-by-the-modi-govt-bjp-leader-shahnawaz-hussain/articleshow/109275254.cms'
64,64,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/cant-devise-policy-in-middle-of-polls-trust-eci-to-take-action-delhi-hc-on-deepfake-videos/articleshow/109791042.cms'
65,65,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/one-sided-voting-for-nda-in-phase-1-pm-modi-at-maharashtra-rally/articleshow/109456767.cms'
66,66,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/west-bengal/mamata-banerjee-misleading-people-on-caa-amit-shah/articleshow/109205032.cms'
67,67,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/kerala/smriti-irani-accuses-rahul-gandhi-of-receiving-support-from-terrorist-organization-pfi-in-wayanad/articleshow/109140202.cms'
68,68,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/assembly-elections/kerala/rahul-gandhi-does-not-have-courage-to-contest-from-amethi-rajnath-singh/articleshow/109395247.cms'
69,69,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/bjp-invites-25-nations-to-observe-lok-sabha-polls-in-india/articleshow/109204855.cms'
70,70,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/you-have-eaten-enough-pann-now-time-for-congress-in-odisha-rahul-gandhi/articleshow/109668315.cms'
71,71,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/setback-for-congress-as-partys-up-co-coordinator-vikas-agrahari-joins-bjp-in-presence-of-smriti-irani/articleshow/109397232.cms'
72,72,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/kerala/bjp-wants-to-impose-one-history-one-language-on-people-rahul-gandhi/articleshow/109398025.cms'
73,73,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/tamil-nadu/high-stake-battle-in-coimbatore-manchester-of-south-india/articleshow/109204203.cms'
74,74,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/prajwal-revanna-raped-400-women-alleges-rahul-gandhi-seeks-pm-apology/videoshow/109784209.cms'
75,75,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/karnataka-complaint-against-bjp-leaders-for-posting-video-intimidating-sc/sts-not-to-vote-for-congress/articleshow/109857047.cms'
76,76,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/some-officials-of-budaun-working-at-bjp-leaders-behest-alleges-sp-candidate-shivpal-yadav/articleshow/109195522.cms'
77,77,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/modi-govt-snatching-away-reservation-by-blindly-implementing-privatisation-rahul-gandhi/articleshow/109776723.cms'
78,78,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/rahul-gandhis-retort-to-pm-modis-ambani-adani-jibe-at-congress-personal-experience-hai-kya/videoshow/109957374.cms'
79,79,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/modi-guarantee-bjp-will-neither-remove-reservations-nor-allow-anyone-to-do-so-says-amit-shah/articleshow/109669959.cms'
80,80,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/amit-shahs-son-never-played-cricket-but-still-sitting-on-sachin-tendulkars-position-alleges-rahul-gandhi/videoshow/109670619.cms'
81,81,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/akhilesh-yadav-mocks-modi-ki-guarantee-poll-pitch-its-not-guarantee-its-their-ghanti/videoshow/109463165.cms'
82,82,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/not-sex-scandal-but-mass-rape-rahul-gandhi-hits-out-at-jds-prajwal-revanna/articleshow/109780870.cms'
83,83,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/wayanad-bhi-chhodenge-pm-modi-claims-rahul-gandhi-will-fight-ls-election-from-another-seat/videoshow/109460624.cms'
84,84,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/lok-sabha-polls-2024-raja-maharaja-shehzada-pm-modi-accuses-rahul-gandhi-of-insulting-indias-royals-in-karnataka-rally/articleshow/109671338.cms'
85,85,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/suspense-continues-over-rahul-priyankas-candidatures-from-raebareli-and-amethi-final-decision-today/articleshow/109769663.cms'
86,86,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/jharkhands-people-will-give-befitting-reply-to-bjp-over-injustice-to-hemant-soren-tejashwi-yadav/articleshow/109474541.cms'
87,87,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/assembly-elections/kerala/vijayan-accuses-modi-rahul-gandhi-of-covering-up-keralas-progress-with-lies/articleshow/109472534.cms'
88,88,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-modis-swipe-at-rahul-gandhis-eliminate-poverty-in-one-stroke-remark-ye-shahi-jaadugar/videoshow/109290744.cms'
